question,choice,text,value
q1,a,I've been romantic and imaginative,E
q1,b,I've been pragmatic and down to earth,B
q2,a,I have tended to take on confrontations,G
q2,b,I have tended to avoid confrontations,A
q3,a,"I have typically been diplomatic, charming, and ambitious",C
q3,b,"I have typically been direct, formal, and idealistic",D
q4,a,I have tended to be focused and intense,H
q4,b,I have tended to be spontaneous and fun-loving,I
q5,a,I have been a hospitable person and have enjoyed welcoming new friends into my life,F
q5,b,I have been a private person and have not mixed much with others,E
q6,a,It's been difficult for me to relax and stop worrying about potential problems,B
q6,b,It's been difficult for me to get myself worked up about potential problems,B
q7,a,I've been more of a street-smart survivor,G
q7,b,I've been more of a high-minded idealist,D
q8,a,I have needed to show affection to people,F
q8,b,I have preferred to maintain some distance with people,H
q9,a,"When presented with a new experience, I've usually asked myself if it would be useful to me",D
q9,b,"When presented with a new experience, I've usually asked myself if it would be enjoyable",I
q10,a,I have tended to focus too much on myself,E
q10,b,I have tended to focus too much on others,A
q11,a,Others have depended on my insight and knowledge,H
q11,b,Others have depended on my strength and decisiveness,G
q12,a,I have come across as being too unsure of myself,B
q12,b,I have come across as being too sure of myself,D
q13,a,I have been more relationship-oriented than goal-oriented,F
q13,b,I have been more goal-oriented than relationship-oriented,C
q14,a,I have not been able to speak up for myself very well,E
q14,b,I have been outspoke -- I've said what others wished they have the nerve to say,I
q15,a,It's been difficult for me to stop considering alternatives and do something definite,H
q15,b,It's been difficult for me to take it easy and be more flexible,D
q16,a,I have tended to be careful and hesitant,B
q16,b,I have tended to be bold and domineering,G
q17,a,My reluctance to get too involved has gotten me into trouble with people,A
q17,b,My eagerness to have people depend on me has gotten me into trouble with them,F
q18,a,"Usually, I have been able to put my feelings aside to get the job done",C
q18,b,"Usually, I have needed to work through my feelings before I could act",E
q19,a,"Generally, I've been methodical and cautious",B
q19,b,"Generally, I've been adventurous and taken risks",I
q20,a,"I have tended to be a supportive, giving person who seeks intimacy with others",F
q20,b,"I have tended to be a serious, resered person who likes discussing issues",D
q21,a,I've often felt the need to be a pillar of strength,G
q21,b,I've often felt the need to perform perfectly,C
q22,a,I've typically been interested in asking tough questions and maintaining my independence,H
q22,b,I've typically been interested in maintaining my stability and peace of mind,A
q23,a,I've been a bit cynical and skeptical,B
q23,b,I've been a bit mushy and sentimental,F
q24,a,I've often worried that I'm missing out on something better,I
q24,b,"I've often worried that if I let down my guard, someone will take advantage of me",G
q25,a,"My habit of being """"stand-offish"""" has annoyed people",E
q25,b,My habit of telling people what to do has annoyed people,D
q26,a,I have tended to get anxious if there was too much excitement and stimulation,A
q26,b,I have tended to get anxious if there wasn't enough excitement and stimulation,I
q27,a,I have depended on my friends and they have known that they can depend on me,B
q27,b,I have not depended on people; I have done things on my own,C
q28,a,I have tended to be detached and preoccupied,H
q28,b,I have tended to be moody and self-absorbed,E
q29,a,"I have liked to challenge people and """"shake them up",G
q29,b,I have liked to comfort people and calm them down,F
q30,a,"I have generally been an outgoing, sociable person",I
q30,b,"I have generally been an earnest, self-disciplined person",D
q31,a,"I've wanted to """"fit in"""" with others—I get uncomfortable when I stand out too much",A
q31,b,I've wanted to stand out from others—I get uncomfortable when I don't distinguish myself,C
q32,a,Pursuing my personal interests has been more important to me than having stability and security,H
q32,b,Having stability and security has been more important to me than pursuing my personal interests,B
q33,a,"When I've had conflicts with others, I've tended to withdraw",E
q33,b,"When I've had conflicts with others, I've rarely backed down",G
q34,a,I have given in too easily and let others push me around,A
q34,b,I have been too uncompromising and demanding with others,D
q35,a,I've been appreciated for my unsinkable spirit and resourcefulness,F
q35,b,I've been appreciated for my deep caring and personal warmth,G
q36,a,I have wanted to make a favorable impression on others,C
q36,b,I have cared little about making a favorable impression on others,H
q37,a,I've depended on my perseverance and common sense,B
q37,b,I've depended on my imagination and moments of inspiration,E
q38,a,"Basically, I have been easy-going and agreeable",A
q38,b,"Basically, I have been hard-driving and assertive",G
q39,a,I have worked hard to be accepted and well-liked,C
q39,b,Being accepted and well-liked has not been a high priority for me,D
q40,a,"In reaction to pressure from others, I have become more withdrawn",H
q40,b,"In reaction to pressure from others, I have become more assertive",I
q41,a,"People have been interested in me because I've been outgoing, engaging, and interested in them",F
q41,b,"People have been interested in me because I've been quiet, unusual, and deep",E
q42,a,Duty and responsibility have been important values for me,B
q42,b,Harmony and acceptance have been important values for me,A
q43,a,I've tried to motivate people by making big plans and big promises,G
q43,b,I've tried to motivate people by pointing out the consequences of not following my advice,D
q44,a,I have seldom been emotionally demonstrative,H
q44,b,I have often been emotionally demonstrative,F
q45,a,Dealing with details has not been one of my strong suits,I
q45,b,I have excelled at dealing with details,C
q46,a,"I have often emphasized how different I am from most peoples, especially my family",E
q46,b,"I have often emphasized how much I have in common with most people, especially my family",A
q47,a,"When situations have gotten heated, I have tended to stay on the sidelines",H
q47,b,"When situations have gotten heated, I have tended to get right into the middle of things",G
q48,a,"I have stood by my friends, even when they have been wrong",B
q48,b,I have not wanted to compromise what is right even for friendship,D
q49,a,I've been a well-meaning supporter,F
q49,b,I've been a highly-motivated go-getter,C
q50,a,"When troubled, I have tended to brood about my problems",E
q50,b,"When troubled, I have tended to find distractions for myself",I
q51,a,"Generally, I've had strong convictions and a sense of how things should be",D
q51,b,"Generally, I've had serious doubts and have questioned how things seemed to be",I
q52,a,I've created problems with others by being pessimistic and complaining,B
q52,b,I've created problems with others by being bossy and controlling,G
q53,a,I have tended to act on my feelings and let the 'chips fall where they may,F
q53,b,I have tended not to act on my feelings lest they stir up more problems,A
q54,a,Being the center of attention has usually felt natural to me,C
q54,b,Being the center of attention has usually felt strange to me,E
q55,a,"I've been careful, and have tried to prepare for unforeseen problems",B
q55,b,"I've been spontaneous, and have preferred to improvise as problems come up",I
q56,a,I have gotten angry when others have not shown enough appreciation for what I have done for them,F
q56,b,I have gotten angry when others have not listened to what I have told them,D
q57,a,Being independent and self-reliant has been important to me,B
q57,b,Being valued and admired has been important to me,C
q58,a,"When I've debated with friends, I've tended to press my arguments forcefully",H
q58,b,"When I've debated with friends, I've tended to let things go to prevent hard feelings",A
q59,a,I have often been possessive of loved ones--I have had trouble letting them be,F
q59,b,I have often 'tested' loved ones to see if they were really there for me,B
q60,a,Organizing resources and making things happen has been one of my major strengths,G
q60,b,Coming up with new ideas and getting people excited about them has been one of my major strengths,I
q61,a,I've tended to be driven and very hard on myself,D
q61,b,I've tended to be too emotional and rather undisciplined,E
q62,a,"I have tried to keep my life fast-paced, intense, and exciting",I
q62,b,"I have tried to keep my life regular, stable, and peaceful",A
q63,a,"Even though I've had successes, I've tended to doubt my abilities",B
q63,b,"Even though I've had setbacks, I've had a lot of confidence in my abilities",C
q64,a,I generally have tended to dwell on my feelings and to hold onto them for a long time,E
q64,b,I generally have tended to minimize my feelings and not pay very much attention to them,H
q65,a,I have provided many people with attention and nurturance,F
q65,b,I have provided many people with direction and motivation,G
q66,a,I've been a bit serious and strict with myself,D
q66,b,I've been a bit free-wheeling and permissive with myself,I
q67,a,I've been self-assertive and driven to excel,C
q67,b,I've been modest and have been happy to go at my own pace,A
q68,a,I have been proud of my clarity and objectivity,H
q68,b,I have been proud of my reliability and commitment,B
q69,a,I have spent a lot of time looking inward—understanding my feelings has been important to me,E
q69,b,I have not spent much time looking inward—getting things done has been important to me,A
q70,a,"Generally, I have thought of myself as a sunny, casual person",B
q70,b,"Generally, I have thought of myself as a serious, dignified person",H
q71,a,I've had an agile mind and boundless energy,I
q71,b,I've had a caring heart and deep dedication,F
q72,a,I have pursued activities that had a substantial potential for reward and personal recognition,F
q72,b,I have been willing to give up reward and personal recognition if it meant doing work I was really interested in,I
q73,a,Fulfilling social obligations has seldom been high on my agenda,D
q73,b,I have usually taken my social obligations very seriously,B
q74,a,"In most situations, I have preferred to take the lead",B
q74,b,"In most situations, I have preferred to let someone else take the lead",A
q75,a,"Over the years, my values and lifestyle have changed several times",F
q75,b,"Over the years, my values and lifestyle have remained fairly consistent",H
q76,a,"Typically, I have not had much self-discipline",I
q76,b,"Typically, I have not had much connection with people",H
q77,a,"I have tended to withhold my affection, and have wanted others to come into my world",G
q77,b,"I have tended to give my affection too freely, and have wanted to extend myself to others",F
q78,a,I have had a tendency to think of worst case scenarios,D
q78,b,I have had a tendency to think that everything will work out for the best,B
q79,a,People have trusted me because I am confident and can look out for them,E
q79,b,People have trusted me because I am fair and will do what is right,G
q80,a,"Often, I have been so involved in my own projects that I have become isolated from others",H
q80,b,"Often, I have been so involved with others that I have neglected my own projects",F
q81,a,"When meeting someone new, I have usually been poised and self-contained",C
q81,b,"When meeting someone new, I have usually been chatty and entertaining",I
q82,a,"Generally speaking, I have tended to be pessimistic",E
q82,b,"Generally speaking, I have tended to be optimistic",A
q83,a,I have preferred to inhabit my own little world,H
q83,b,I have preferred to let the world know I'm here,G
q84,a,"I have often been troubled by nervousness, insecurity, and doubt",B
q84,b,"I have often been troubled by anger, perfectionism, and impatience",D
q85,a,I realize that I have often been too personal and intimate,F
q85,b,I realize that I have often been too cool and aloof,C
q86,a,I have lost out because I have not felt up to taking opportunities,E
q86,b,I have lost out because I have pursued too many possibilities,I
q87,a,I have tended to take a long time to get into action,H
q87,b,I have tended to get into action quickly,D
q88,a,I usually have had difficulty making decisions,B
q88,b,I seldom have had difficulty making decisions,G
q89,a,I have had a tendency to come on a little too strong with people,F
